Question,A,B,C,D,Answer
Which one is the smallest ocean in the world?,Indian,Pacific,Atlantic,Arctic,Arctic
Dead sea is located between which two countries?,Jordan and Sudan,Jordan and Israel,Turkey and UAE,UAE and Eqypt,Jordan and Israel
"In which country, white elephant is found? ",India,Srilanka,Thailand,Malaysia,Thailand
Who was the first man to fly into space?, Yuri Gagarin,Robert Walpole,Henry Waterloo,George Bush, Yuri Gagarin
Lisbon is capital of?,Canada ,France ,Germany,Portugal,Portugal
Which country is known as the 'Land of Rising Sun'?,Japan,New Zealand,India,China,Japan
Where is the World's longest sea bridge?,Japan,Russia ,China,None of the above,China
Which one is the capital city of Canada? ,Toronto ,Montreal,Ottawa,Vancouver,Ottawa
Total Number of Oceans in the World? ,3,5,7,12,5
Emu Bird is found in the country?,New Zealand ,Japan ,Australia ,Thailand ,Australia 
